repeat,tick,warmup,phase,cpu_ms
1,521,false,point,0.0014581680297851562
1,522,false,point,0.0015001296997070312
1,523,false,point,0.0014581680297851562
1,524,false,point,0.0014591217041015625
1,525,false,point,0.0014579296112060547
1,526,false,point,0.0014579296112060547
1,527,false,point,0.0014579296112060547
1,528,false,point,0.0014159679412841797
1,529,false,point,0.0014591217041015625
1,530,false,point,0.0014162063598632812
1,531,false,point,0.001416921615600586
1,532,false,point,0.0014579296112060547
1,533,false,point,0.001458883285522461
1,534,false,point,0.0014159679412841797
1,535,false,point,0.001416921615600586
1,536,false,point,0.001416921615600586
1,537,false,point,0.0014581680297851562
1,538,false,point,0.0014171600341796875
1,539,false,point,0.001416921615600586
1,540,false,point,0.0014579296112060547
1,541,false,point,0.001416921615600586
1,542,false,point,0.0014579296112060547
1,543,false,rally,0.004666805267333984
1,544,false,rally,0.002334117889404297
1,545,false,rally,0.0018329620361328125
1,546,false,rally,0.0018329620361328125
1,547,false,rally,0.0018749237060546875
1,548,false,rally,0.0018329620361328125
1,549,false,rally,0.0017499923706054688
1,550,false,rally,0.0017919540405273438
1,551,false,rally,0.0018329620361328125
1,552,false,rally,0.0017921924591064453
1,553,false,rally,0.0017910003662109375
1,554,false,rally,0.0017919540405273438
1,555,false,rally,0.0017921924591064453
1,556,false,rally,0.0018339157104492188
1,557,false,rally,0.0018329620361328125
1,558,false,rally,0.0018341541290283203
1,559,false,rally,0.0018329620361328125
1,560,false,rally,0.0018329620361328125
1,561,false,rally,0.0019998550415039062
1,562,false,rally,0.002749919891357422
1,563,false,rally,0.0019168853759765625
1,564,false,rally,0.0017919540405273438
1,565,false,rally,0.0017910003662109375
1,566,false,rally,0.0017921924591064453
1,567,false,rally,0.0021250247955322266
1,568,false,rally,0.001833200454711914
1,569,false,rally,0.0018341541290283203
1,570,false,rally,0.0018329620361328125
1,571,false,rally,0.0018329620361328125
1,572,false,rally,0.0018339157104492188
1,573,false,rally,0.001833200454711914
1,574,false,rally,0.0018329620361328125
1,575,false,rally,0.0018329620361328125
1,576,false,rally,0.0018341541290283203
