repeat,scenario,viewer,mode,emitted_snapshots,emitted_json_bytes,delivered_snapshots,delivered_json_bytes,accepted_snapshots,rejected_snapshots,underflow_episodes,measured_underflow_episodes,arrival_interval_sd_ms,motion_p95,zero_motion_fraction,source_age_mean_ms_model,source_age_p95_ms_model,same_tick_error_p95,display_cpu_p95_ms
5,20hz_ordered_jitter,viewer,latest,281,217687,279,216202,279,0,0,0,30.463274008447513,36.900000000000055,0.709051724137931,75.55555555555556,116.66666666666788,0,0.0008749961853027344
5,20hz_ordered_jitter,viewer,interpolate,281,217687,279,216202,279,0,73,70,30.463274008447513,16.63549994800267,0.04357298474945534,113.14078210831501,116.71370968222641,0,0.0011670589447021484
5,20hz_asymmetric_observers,observer_20ms,latest,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,36.90000000000002,0.6739130434782609,50.00000000000002,66.66666666666788,0,0.0007920265197753906
5,20hz_asymmetric_observers,observer_20ms,interpolate,281,217687,280,216944,280,0,0,0,1.40449847498563e-13,12.300000000001386,0.021739130434782608,121.25,120,0,0.0012080669403076172
5,20hz_asymmetric_observers,observer_80ms,latest,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,36.90000000000002,0.6739130434782609,100,116.66666666666788,0,0.0007500648498535156
5,20hz_asymmetric_observers,observer_80ms,interpolate,281,217687,279,216202,279,0,0,0,1.4061572303120916e-13,12.300000000001406,0.021739130434782608,180.83333333333331,180.00000000000045,0,0.0012090206146240234
5,20hz_application_omission,viewer,latest,281,217687,241,186632,241,0,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0009579658508300781
5,20hz_application_omission,viewer,interpolate,281,217687,241,186632,241,0,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.0012090206146240234
5,20hz_application_reorder,viewer,latest,281,217687,280,216944,241,39,0,0,18.44544320421713,36.900000000000055,0.7257019438444925,73.75,116.66666666666788,0,0.0007500648498535156
5,20hz_application_reorder,viewer,interpolate,281,217687,280,216944,241,39,0,0,18.44544320421713,12.300000000001386,0.04103671706263499,151.80555555555554,150.0000000000009,0,0.0012500286102294922
